date,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,XEM,XTZ,BSV,MKR,ATOM,LEO,LINK,HT,MIN,INNBCL,STO,TAGZ5,CRO,HEX,DOT
20180701,0.0458333332371168,0.0673397844858391,0.151180282422171,0.125966529004047,0.0323014270393982,0.198920139921681,0.260781889841182,0.118893457449109,0.034240304861643,0.039729571773109,0.0617672293491839,0.160200560033401,0.139795057098887,0.0190108980676309,0.26366193584531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180702,0.018128668760707,0.116180023310476,0.160125962718476,0.0391779096919987,0.0329196762847377,0.143370172914784,0.251668467653442,0.116715428125312,0.0395719393463518,0.079701560400083,0.230410888975198,0.0395433507358791,0.14317528795856,0,0.243390467199058,0.0380287195960116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180703,0.190467184332957,0.120171112434514,0.152702761983506,0.0387977664314035,0.0325301328460958,0.138958441801088,0.190154502311724,0.124768108522801,0.0635859331068839,0.184113794224591,0.12299005143943,0.142386321243618,0.104497652920365,0,0.187216402136857,0.0778533178977113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180704,0.183434853134618,0.15939304454421,0.157553519918131,0.043496922930997,0.030878471335247,0.180103943626323,0.229094076634266,0.0482458997780364,0.0496450251143822,0.128707165432457,0.129733185590155,0.138292740088209,0.100994274678783,0,0.191524838585547,0.045147398094009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180705,0.164863164330628,0.141744459691269,0.149959752942962,0.04017976516113,0.0223932502162935,0.147333185751622,0.222259326073559,0.0510351342812073,0.070898205374894,0.0967948196024553,0.086065761744926,0.141368267222911,0.141411615725415,0,0.121203655641918,0.115514812980988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180706,0.158942993452694,0.121612852413829,0.16549567555837,0.0418883510594285,0.0220394066140162,0.117201499897814,0.234573033946888,0.0954604039903805,0.0751272501515233,0.159753767935066,0.0529929785556701,0.114132795162038,0.0973251411648055,0,0.194528340463738,0.0436691992026273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180707,0.140590730575958,0.144916386926907,0.153677886067335,0.0407058750827497,0.0202839073305418,0.184794667606953,0.230635687025875,0.136713642084321,0.0660193496600158,0.169988034274751,0.0470923172102848,0.115624344579575,0.10528828575911,0,0.11383481752023,0.113734337756726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180708,0.123073233932016,0.14541747297278,0.126366366041681,0.0450715155059949,0.0226039031425008,0.125671275540031,0.198087476719846,0.154826962067928,0.0497051812558467,0.174850053030031,0.0546114659055724,0.114104324108289,0.148396197471399,0,0.189759188386547,0.122287792447174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180709,0.121894795311269,0.0832686041650783,0.109137995130587,0.0502218424199643,0.0299389227399195,0.141417655215596,0.226214461716603,0.059721369000715,0.094123699684407,0.157307981795367,0.0469878640238778,0.111858871429133,0.0973006571863974,0,0.316647277691966,0.106649592255078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180710,0.125352365694493,0.145205544635122,0.106250806730773,0.0433328426297681,0.0167354631905092,0.181724135611572,0.229710584534238,0.058677478779328,0.0900546056373965,0.234776376921634,0.051335186818245,0.121893767731893,0.101618175773411,0,0.0527004260699772,0.0528663414895885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180711,0.184721380645033,0.144160299375706,0.0967069003550956,0.0617240312432724,0.0284067546943129,0.181410691698105,0.228094374759353,0.0519695484323501,0.171613671258149,0.206894279071552,0.0909683795540248,0.120924606737276,0.0592558979163594,0,0.047226827807323,0.0666856926620402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180712,0.19641089373995,0.114413389776458,0.103915377694058,0.052709667220973,0.0271335424563933,0.174511747000262,0.220375488434844,0.0532898616571707,0.0800811395113338,0.122844700696338,0.151260889499191,0.142893575744556,0.0725127425312505,0,0.0976747523969904,0.0890594808605091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180713,0.178373920339819,0.101128226729192,0.110581474728967,0.0645688438514007,0.0307478016635115,0.22974910886607,0.232036781464619,0.108575615825676,0.0812915288373608,0.178807748904491,0.0604696775039703,0.184808694639546,0.147243115105958,0,0.0516193716829231,0.10095279147514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180714,0.177209052700121,0.0810734880984418,0.127332240415206,0.0713237910987102,0.0282907274761343,0.186156183991297,0.231008981213878,0.124229164314409,0.0826945436710691,0.147278482777794,0.0629354451147926,0.148812950126104,0.181656024718493,0,0.195795257736218,0.0974651419855502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180715,0.189085222589714,0.0643534634404918,0.255789080223157,0.0657805253872135,0.0195525424226001,0.215740883498303,0.207025111556594,0.153378207919666,0.0171927837911647,0.119061571341394,0.0706825813414872,0.180476203120965,0.181805512480961,0,0.0498082988848145,0.113628831356186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180716,0.234026962365839,0.0990909439430861,0.129990018276951,0.0710380178720075,0.0229848999442535,0.236975162699893,0.230435962560812,0.206529699900954,0.0369591488771322,0.205822517848875,0.0690738929493287,0.154984363834329,0.146767613635764,0,0.0610746324772858,0.11287618340907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180717,0.147230839653207,0.205694159299979,0.156121203246188,0.0906062898623654,0.0316744297780641,0.200837881361103,0.226561874044097,0.295097876343481,0.0150877455843885,0.11032610257384,0.0613968691174245,0.150751260983257,0.136920288892777,0,0.0621341929518001,0.0913092336205776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180718,0.165950717015022,0.24326974171734,0.1511582241735,0.0638193825330402,0.0371019535147738,0.188075505433526,0.218420622846992,0.227606629975332,0.013768944357129,0.117316082337743,0.0414528873729273,0.173325599309898,0.154758256597396,0,0.0500318934145243,0.120977935344925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180719,0.118089623649336,0.187143100359198,0.121119446431282,0.0655972385883862,0.0324856946785871,0.160925867654745,0.18324353310449,0.22267871165207,0.0333207452407735,0.113666452109435,0.0297536067506753,0.179008408235908,0.158099555134083,0,0.0448861947881792,0.120965064652323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180720,0.126006342143811,0.186895239209455,0.210742570945497,0.0633623716170981,0.0318844392575145,0.156442821567026,0.147212024021109,0.130853847775757,0.0352537555206143,0.12501455813492,0.0286452489099304,0.176270106233956,0.0902810690565602,0,0.055682500123816,0.114876823737575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180721,0.11325826484485,0.1778725952612,0.0811480080850697,0.0768069847630253,0.0433126929544443,0.155760336360173,0.181491429832691,0.122835252787476,0.0144537285406427,0.115656927168063,0.0294030525473257,0.168301692628754,0.161726783538087,0,0.0659036291338083,0.11128749729967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180722,0.158166092205792,0.181724797714521,0.204328708366154,0.0604587936824428,0.04134011148368,0.149316094836359,0.236169868330703,0.19881896001618,0.0182273229878738,0.10211046384233,0.031363677799959,0.230506851045696,0.0991601643216872,0,0.116604641644689,0.0726975644934297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180723,0.184588750843219,0.217609790222932,0.0435349196069223,0.0265496559420725,0.0335601478125096,0.141585961633381,0.2324793581534,0.103026181719281,0.0281870113294513,0.158720206701161,0.0172806054083206,0.158746781059635,0.167908597021415,0,0.0422463445902986,0.0475555173096084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180724,0.126016903908695,0.180795115002883,0.0314028102184464,0.0170938333066355,0.0339603703362406,0.10632187520888,0.126880893559179,0.115259194779586,0.0301770659814835,0.129378668639414,0.084572650883381,0.098540772180373,0.116047616747899,0,0.067913608226659,0.114202939329653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180725,0.0877218172286008,0.185356685697136,0.0306782230152449,0.0492384425842529,0.033044213650072,0.0952718910218465,0.129713237535604,0.116603995170618,0.0294539056397713,0.108322797093796,0.047911753834243,0.0946509037684798,0.121027200442806,0,0.0560747273490455,0.109115677576446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180726,0.077799562618299,0.184064374048204,0.0303037196061991,0.0641272767724538,0.0298805618550291,0.197301822602647,0.162903678707992,0.118771916423306,0.028841971466926,0.223432770120556,0.0400472582489288,0.0930687385638339,0.237083299954227,0,0.0752100793825745,0.10395889876288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180727,0.0781018952680445,0.17388914355392,0.029951394691755,0.104471442828049,0.0335453649861549,0.198663490625278,0.171761280624979,0.127082127851145,0.027715680028767,0.226015292075796,0.0611802348184971,0.107288338444335,0.230741834666667,0,0.0438072735062294,0.112575403390675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180728,0.0998267495333581,0.182730394364945,0.0418656315089551,0.104270520520767,0.0297993918284538,0.185127174599922,0.106530670829052,0.16811699501804,0.0438169913295823,0.232757211409361,0.0654886875139217,0.0944942913631163,0.20669878653596,0,0.0324618641352387,0.0458293655152984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180729,0.105861776599178,0.174388734302852,0.0988230185253467,0.101638500041817,0.0213025576458822,0.148973459190649,0.10120307007924,0.139288776690597,0.0219190108922363,0.117089340333325,0.0413930216286603,0.0980403127302434,0.206012996110523,0,0.0356360167792846,0.107234685967964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180730,0.0803175243211933,0.161713534699238,0.0885373839979691,0.0952952689687214,0.0279946666867562,0.152333200149599,0.0981198450873859,0.144268077545266,0.0242024152865541,0.127896796315241,0.0689955131390801,0.124509407303938,0.203778216949973,0,0.036273157500706,0.0761721751411842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180731,0.078220969718772,0.160284410961873,0.0880497734247287,0.0891393197160978,0.0287544897198594,0.143410941215691,0.0942988479879789,0.131315660953145,0.0413605847735231,0.109453094781706,0.0419286538403092,0.105143981999658,0.145553519982949,0,0.0295930812300983,0.0520366157997346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180801,0.0898131439458922,0.144605373906639,0.0512904930268529,0.100131495827655,0.034233887140385,0.13730894055377,0.129140691151997,0.239321045379908,0.025045564039515,0.0665196677826157,0.0802024944416319,0.0796459100688371,0.120177979230384,0,0.0252705648805226,0.0579660385671136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180802,0.12304112976666,0.143162097688175,0.0930453275148185,0.111273803615245,0.0436487328466649,0.133129451329722,0.100998025618545,0.175055874128017,0.0404623304350515,0.0574786680518342,0.0805296887883736,0.0778267537185061,0.119972505315565,0,0.0315888553540973,0.0540832218276994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180803,0.0891477854782799,0.167690582522159,0.144139291514778,0.0878044295376564,0.0502137935116759,0.158714075699184,0.117527781944432,0.11474460210262,0.0414534554330951,0.077744131155298,0.0800014975182775,0.145311757740604,0.137251837646708,0,0.0337757366792762,0.0533629686020629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
